timestamp,iccid,voltage_mv
2025-11-13 08:52:10,89430301722116606797,3823
2025-11-13 08:52:37,89430301722567205164,4063
2025-11-13 08:54:02,89430301722228918312,4150
2025-11-13 08:57:18,89430301722116519669,4139
2025-11-13 09:05:25,89430301722116519669,4139
2025-11-13 09:06:21,89430301722116519669,4139
2025-11-13 09:08:18,89430301722116519669,4139
2025-11-13 09:09:44,89430301722116519669,4139
2025-11-13 10:06:28,89430301722567184385,3758
2025-11-13 10:52:20,89430301722020597421,4077
2025-11-13 12:49:36,89430301722234208906,4004
2025-11-14 09:38:11,89430301722117416071,3892
2025-11-14 10:05:15,89430301722567175516,3870
2025-11-14 10:13:14,89430301722228781298,3990
